style,orphan_sku,orphan_ls_id_being_deleted,source_pid,existing_sibling_skus,sibling_count,action_taken,review_note
SFSKYL-75400767,A-RHE-SFSKYL-75400767-BLA-6-7/8,9bfb972d-f445-4ad9-85e4-075a51d1e3f6,4290,SFSKYL-75400767,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
SFGUSS-50406173,A-RHE-SFGUSS-50406173-SIL-7-3/8,784bd478-5234-4162-9c3d-06053d451ef8,4291,SFGUSS-50406173,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
SFGUSS-50400773,A-RHE-SFGUSS-50400773-BLA-7-3/8,05804bc2-83bb-4cf7-98c5-fbf98e50038e,4294,SFGUSS-50400773,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
4145,A-RHE-4145-WHI-6-5/8,4e34eb0f-7325-4fb8-afd6-8e191a433c0d,4443,84145-Boys-M- | 84145-Boys-S- | 84145-Boys-XL- | 84145-Boys-XS- | 84145-Boys-L-,19,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RFACAC-RB42VT72,A-RHE-RFACAC-RB42VT72-VT-7-1/4,0267a9ee-04ff-4fdb-9ea5-c48dd75b0525,4444,RFACAC-RB42VT72,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MXX1001003,M-MIN-MXX1001003-AST-3.4-FL-OZ-/-100-ML,e771091c-48d0-445f-8521-5f3ae5e20e4b,4679,M-MIN-MXX1001003-DUA-3.4,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
42BWX,M-KON-42BWX-2T-Reg-NA,626b9d35-3a51-4ef0-bc99-b84ad78e5561,4757,42BWX-Boys-10-REG | 42BWX-Boys-10-SLM | 42BWX-Boys-11-REG | 42BWX-Boys-11-SLM | 42BWX-Boys-12-HSK,81,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
BRT20,K-KON-BRT20-2T-REG-NA,72e4b2fe-dc80-479d-889d-e1fe93ae6c59,4759,BRT20-Boys-10-REG | BRT20-Boys-10-SLM | BRT20-Boys-11-REG | BRT20-Boys-11-SLM | BRT20-Boys-12-HSK,55,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
464893,K-JPC-464893-190455-NEU-06,74c8f680-0f70-40c8-8c9b-f9d1f34cca2c,4813,K-GEN-464893-TAN-6 | K-JPC-464893-NEU-6 | K-JPC-464893-NEU-10 | K-JPC-464893-NEU-12 | K-JPC-464893-NEU-14,7,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CHL,A-GEN-CHL-Thunder-6-7/8,a2c4591e-0179-4d95-8fef-c33dd2a3153f,4974,L6059-6.5-BRASS/YELLOWOSTRICHLEGEMBROIDERY-WIDE | L6059-07-BRASS/YELLOWOSTRICHLEGEMBROIDERY-WIDE | L6059-7.5-BRASS/YELLOWOSTRICHLEGEMBROIDERY-WIDE | L6059-08-BRASS/YELLOWOSTRICHLEGEMBROIDERY-WIDE | L6059-8.5-BRASS/YELLOWOSTRICHLEGEMBROIDERY-WIDE,49,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSTHGD-CJ42M275,A-RHE-RSTHGD-CJ42M275-BW-7-5/8,812b766e-1a6d-40d0-a3af-7ed94174392c,4980,RSTHGD-CJ42M275 | A-GEN-RSTHGD-CJ42M275-BW-7-5/8,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSBRWR,K-GEN-RSBRWR--30428166-NAT-6-3/4,24de5e3f-065f-403a-b17b-43e0c37e2371,5000,A-HBR-RSBRWR-30428166-NAT-634 | A-HBR-RSBRWR-30428174-NAT-7-1/2 | A-HBR-RSBRWR-30428175-NAT-7-5/8 | K-GEN-RSBRWR-30428166-NAT-6-3/4 | A-GEN-RSBRWR-30428174-NAT-7-1/2,6,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
RSHAZE-30428166,A-RHE-RSHAZE-30428166-NAT-6-3/4,8fa8d09e-72dc-40ab-8abf-02dcf974077e,5005,RSHAZE-30428166,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
24-810,K-JTI-24-810-BRO-Youth-1-x-48,1e5eae77-73cb-44e5-9276-3c2bfc95d1cc,5262,24-810-2-0 | 24-810-7-0,2,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
MCC0660648,A-MIN-MCC0660648-BRN-BRN-OSFA,8fa8557b-0423-4432-b5dd-31f93f06cd82,5482,M-MIN-MCC0660648-BRN-OSFA,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CCC0041039,A-CRU-CCC0041039-BRN-BRN-OSFA,b5dfb5b1-3953-4137-91de-4a860c556489,5491,CCC0041039,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
CCC0042036,K-CRU-CCC0042036-BRN-BRN,7e93a2ca-93f8-41b5-bded-202543f3c2ba,5502,CCC0042036,1,CREATE_STANDALONE,Sibling SKU(s) exist in LS — may belong to existing family. Review for manual merge.
